Name,Actual_WAR,Predicted_WAR
Jason McKechnie,0.1,0.66286266
Gerrit Cole,-0.2,-0.4603536
Ramon Solorio,0.1,-0.42405325
Carlos Sarabia,4.3,2.8650715
Juan Gutierrez,0.1,0.92543346
Mike Lundholm,5.1,3.4330187
Adrian Del Castillo,0.2,0.7003819
Josh Russ,-0.1,1.5070153
Alex Freeland,0.8,0.20992249
Justin Charette,1.9,1.0752188
Tom O'Reilly,1.0,1.2854582
James Jenssen,1.3,0.58581626
Sadanobu Kano,2.6,2.072661
Aaron Ashby,-0.6,-0.41315937
Mark Collyer,-1.3,0.66400504
Orlando Espino,0.3,0.30429292
Greg Whitman,0.3,0.4807992
Bill Perez,1.7,1.3091626
Shane Bieber,-0.3,-0.36211812
Gunnar Henderson,0.1,1.6424885
Michael Taylor,0.8,2.4340682
Chris Christie,0.1,0.64734805
Nick Osborn,-0.2,1.5516431
Jose Suarez,5.8,5.28121
Dustin Romeo,0.5,1.8284827
Jason Walters,0.1,0.11604202
Wehiwa Aloy,-0.8,0.4229049
Jonathan Valdez,0.5,2.00881
J.P. Crawford,-0.4,-0.23999038
Aaron Torres,0.5,0.11406625
Welbyn Francisca,1.4,1.1481469
Victor Ramos,0.2,0.34032622
Steve Jones,-0.2,0.5805343
Phil LaVenture,0.6,1.2592392
Andy Turkington,1.5,1.2166122
James Outman,1.4,1.2507384
Melvin Corchado,0.4,1.9910626
John Reichard,0.8,1.2445304
Adam Flaming,0.1,0.5919947
Joseph Dzierwa,-0.2,-0.49160883
David Smith,0.3,0.4235264
James Tronstein,-0.5,0.66109186
Oneil Cruz,2.3,1.7109369
Ben Cross,0.6,1.4466794
Raul Gongora,1.8,2.0333652
Kyle Schwarber,0.4,0.30103654
Josh Land,0.9,0.9365634
Jayden Durham,-0.1,-0.14499438
Clay Gillette,0.1,0.61751354
Everson Pereira,1.7,-0.16017905
Nick Osborn,-1.0,-0.64171165
Christian Scott,-0.3,-0.42919365
Rafael Castro,2.6,1.1454036
Brandon Warren,3.0,1.4609853
Sueki Tanaka,4.2,1.663375
Francisco Vargas,10.4,8.380483
Brad Partington,-0.2,1.2780554
Omar Hernandez,-0.1,-0.33411875
B.J. Carrillo,1.6,2.7148483
Carlos Rodriguez,-0.2,0.9216662
Alberto Guerrero,0.5,1.6617063
Esmil Valencia,3.8,3.3386695
Justin Crawford,2.4,1.6189419
Mike Atkins,6.2,7.2354946
Addison Barger,0.8,2.153741
Brandon Logan,0.1,0.61398196
Angelo Quiroga,2.1,2.6111507
Willie Velazquez,1.7,1.3515172
Raul Hernandez,0.4,1.7524768
Gabriel Paez,-0.5,-0.44190744
Danny Bonilla,1.7,1.8812248
Izzy Gamez,0.1,-0.3517153
Chad Ferderer,-0.5,0.5530737
Hector Higuera,0.1,0.623803
David Estrada,0.7,0.5019044
Varlam Mustafayev,2.8,0.50050104
Ethan Bagwell,-0.4,-0.5366117
Tony Rodriguez,4.7,4.4581294
James Boylan,1.0,0.31600147
Jordan Jacobo,-0.1,0.46677396
Min-ho Kim,-0.1,1.2383535
Harry Ford,1.3,0.53936285
Javy Banuelos,3.5,2.8676386
Manny Guerrero,1.5,3.2398798
Bryce Christian,-1.1,0.16019526
Johan Oviedo,-0.1,-0.5054521
Edgar Pena,1.6,1.1972957
Alex Arredondo,4.0,2.8260684
Rick Hall,6.5,5.1688313
Nick Martini,0.3,0.05126586
Scott Miller,0.8,0.7541124
Rich May,-0.1,0.3040977
Antonio Rubio,0.5,1.4854406
Pat Brower,1.4,2.00408
Logan Gilbert,-0.2,-0.45784163
Cole Carrigg,1.8,2.7019374
Ching-Hsien Ko,0.2,1.2366693
Chris D'Andrea,0.8,0.8860139
Spencer Schwellenbach,0.1,-0.44670358
Marshall Fox,1.1,1.0769423
Xavier Lipscomb,-0.8,0.48677492
Jose Rodriguez,3.3,2.511943
Matt Romero,-0.3,0.44639388
Davis Martin,-0.1,-0.44229952
Mike Atkins,8.8,7.514574
Miguel Fuentes,0.3,0.34149864
Chris LaMond,1.4,0.3585275
John Bricker,-0.1,0.3897981
German Garcia,2.3,1.1206905
Nate McWaters,-0.3,0.6809208
Jimmy Johnston,1.3,1.4559593
Manuel Velez,6.1,4.297494
Alex Bravo,-0.2,0.22838266
Danny Ramirez,1.1,0.91920376
Zi-xing Zhang,2.1,1.7838594
Jose Pirela,0.1,1.2034953
Jacob Hurtubise,-0.1,0.46617994
Danny Johnson,0.9,-0.4330622
Juan Flores,2.1,1.2393501
Ryan Pepiot,-0.8,-0.45386583
Ed Burtner,0.8,1.6761059
Jose Altuve,0.2,0.46226656
Warren Lynch,-0.8,1.1543161
Josh Chalifoux,-0.2,0.7041036
Javier Merlo,-0.3,1.5711963
Francisco Alvarez,5.9,1.9705158
Miguel Garcia,-0.1,-0.39016536
Dane Myers,1.5,1.9684108
Roger Saenz,0.2,0.6764459
Logan O'Hoppe,3.8,2.3752966
Mike Nazaruk,1.9,2.2526476
Gabriel Moreno,-0.4,2.3008792
Mario Gomez,-0.5,0.28834474
Marcos Villareal,2.8,2.2827988
Hiromi Imai,4.8,5.711521
Bryce Miller,-0.7,-0.4362874
Roberto Gamboa,0.9,1.5673904
Mario Izurieta,1.5,0.940461
Jonathan Funk,2.9,3.361658
B.J. Carrillo,4.9,3.016203
Randy Dobnak,-0.1,-0.45442697
Tom Jonas,-0.6,0.15933782
Edgar Martinez,0.5,2.9142623
Ketel Marte,2.4,4.5745273
Jonathan Hobson,5.5,3.2906556
David Muro,-0.4,-0.5102113
Danny Puente,1.2,0.29110783
Jarrett Jordan,0.1,0.16397625
CJ Abrams,2.5,3.2500253
Kyle Harrison,-0.1,-0.36376196
Dustin Antoine,4.8,2.4842832
Kyle Stowers,-0.7,0.6614033
Shane Bieber,-0.7,-0.37472615
Armando Hernandez,-0.1,0.8429234
Nick Mason,2.1,1.2717841
